Date,Open,High,Low,Close,Adj Close,Volume,Open : 10 day rooling mean,Open : 30 day rooling mean,Open : 50 day rooling mean,SMA,CMA,EMA(10),,,EMA  = ((close prc - last EMA)*0)
2017-01-03 00:00:00-05:00,14.32400036,14.6886673,14.06400013,14.4659996,14.4659996,88849500,14.32400036,14.32400036,14.32400036,,,,,,
2017-01-04 00:00:00-05:00,14.3166666,15.19999981,14.28733253,15.13266659,15.13266659,168202500,14.32033348,14.32033348,14.32033348,,14.7993331,,,,
2017-01-05 00:00:00-05:00,15.09466743,15.16533279,14.7966671,15.11666679,15.11666679,88675500,14.5784448,14.5784448,14.5784448,,14.90511099,,,,
2017-01-06 00:00:00-05:00,15.12866688,15.35400009,15.02999973,15.26733303,15.26733303,82918500,14.71600032,14.71600032,14.71600032,,14.9956665,,,,
2017-01-09 00:00:00-05:00,15.26466656,15.46133327,15.19999981,15.41866684,15.41866684,59692500,14.82573357,14.82573357,14.82573357,,14.9956665,,,,
2017-01-10 00:00:00-05:00,15.46666718,15.46666718,15.1260004,15.32466698,15.32466698,54900000,14.93255583,14.93255583,14.93255583,,15.37166691,,,,
2017-01-11 00:00:00-05:00,15.27133274,15.33199978,15.11200047,15.31533337,15.31533337,54762000,14.98095254,14.98095254,14.98095254,,15.35288906,,,,
2017-01-12 00:00:00-05:00,15.27066708,15.38000011,15.03866673,15.30599976,15.30599976,56853000,15.01716685,15.01716685,15.01716685,,15.34116673,,,,
2017-01-13 00:00:00-05:00,15.33333302,15.85666656,15.30599976,15.85000038,15.85000038,91395000,15.05229643,15.05229643,15.05229643,15.05229643,15.34116673,,,,
2017-01-17 00:00:00-05:00,15.77999973,15.99733257,15.62466717,15.70533276,15.70533276,69262500,15.12506676,15.12506676,15.12506676,15.12506676,15.77766657,15.24414815,,,
2017-01-18 00:00:00-05:00,15.77666664,15.98066711,15.70533276,15.89066696,15.89066696,56535000,15.27033339,15.18430311,15.18430311,15.27033339,15.81533337,15.3479999,,,
2017-01-19 00:00:00-05:00,16.48333359,16.57866669,16.04999924,16.25066757,16.25066757,115984500,15.48700008,15.29255565,15.29255565,15.48700008,15.92416692,15.45275744,,,
2017-01-20 00:00:00-05:00,16.36400032,16.39999962,16.20066643,16.31533241,16.31533241,63064500,15.61393337,15.37497447,15.37497447,15.61393337,15.92416692,15.53846817,,,
2017-01-23 00:00:00-05:00,16.38999939,16.72599983,16.36666679,16.59466743,16.59466743,93943500,15.74006662,15.44747625,15.44747625,15.74006662,16.45499992,15.70511014,,,
2017-01-24 00:00:00-05:00,16.66666794,16.98666763,16.64333344,16.97400093,16.97400093,74482500,15.88026676,15.5287557,15.5287557,15.88026676,16.62800026,15.87290817,,,
